root - INFO - GridSearch Tuner 3MM - 2023-07-20 04:49:19.292013
autotvm - DEBUG - waiting for device...
autotvm - DEBUG - device available
autotvm - INFO - Get devices for measurement successfully!
autotvm - DEBUG - No: 1	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.231939814,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.21949577331543, timestamp=1689846655.1004949)	[('tile_y', 1), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,0
autotvm - DEBUG - No: 15	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.70963535,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.10822486877441, timestamp=1689847934.2740812)	[('tile_y', 500), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,14
autotvm - DEBUG - No: 16	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.963673098,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.17980241775513, timestamp=1689848025.973044)	[('tile_y', 1000), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,15
autotvm - DEBUG - No: 17	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.528786720999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.22128510475159, timestamp=1689848117.0084019)	[('tile_y', 1), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,16
autotvm - DEBUG - No: 18	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.465131272,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.87499618530273, timestamp=1689848209.5262039)	[('tile_y', 2), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,17
autotvm - DEBUG - No: 19	GFLOPS: 1.07/1.10	result: MeasureResult(costs=(44.959757139000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.83467054367065, timestamp=1689848301.3349578)	[('tile_y', 4), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,18
autotvm - DEBUG - No: 20	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.205045519,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.53301548957825, timestamp=1689848394.667023)	[('tile_y', 5), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,19
autotvm - DEBUG - No: 21	GFLOPS: 1.02/1.10	result: MeasureResult(costs=(46.844282336999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=97.30153512954712, timestamp=1689848491.950225)	[('tile_y', 8), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,20
autotvm - DEBUG - No: 22	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.391054914,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.94953775405884, timestamp=1689848582.8532288)	[('tile_y', 10), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,21
autotvm - DEBUG - No: 23	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.87429014,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.9183201789856, timestamp=1689848673.7609053)	[('tile_y', 20), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,22
autotvm - DEBUG - No: 24	GFLOPS: 1.07/1.10	result: MeasureResult(costs=(44.751356914999995,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.14283299446106, timestamp=1689848766.4761646)	[('tile_y', 25), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,23
autotvm - DEBUG - No: 25	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.950369007,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.200692653656, timestamp=1689848857.3903513)	[('tile_y', 40), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,24
autotvm - DEBUG - No: 26	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.621800956,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.71249008178711, timestamp=1689848948.0254939)	[('tile_y', 50), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,25
autotvm - DEBUG - No: 27	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.518667826,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.5006730556488, timestamp=1689849040.3443165)	[('tile_y', 100), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,26
autotvm - DEBUG - No: 28	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.708517891,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.27299571037292, timestamp=1689849131.160708)	[('tile_y', 125), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,27
autotvm - DEBUG - No: 29	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.069020562999995,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.15404272079468, timestamp=1689849222.2475436)	[('tile_y', 200), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,28
autotvm - DEBUG - No: 30	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.936299766999994,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.28133726119995, timestamp=1689849315.3842795)	[('tile_y', 250), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,29
autotvm - DEBUG - No: 31	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.611561924,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.78835916519165, timestamp=1689849406.8268318)	[('tile_y', 500), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,30
autotvm - DEBUG - No: 32	GFLOPS: 1.06/1.10	result: MeasureResult(costs=(45.256924948,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.38087129592896, timestamp=1689849499.0144386)	[('tile_y', 1000), ('tile_x', 2), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,31
autotvm - DEBUG - No: 33	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.887029127,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.11361980438232, timestamp=1689849590.0555732)	[('tile_y', 1), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,32
autotvm - DEBUG - No: 34	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.890273447,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.5092442035675, timestamp=1689849678.5268054)	[('tile_y', 2), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,33
autotvm - DEBUG - No: 35	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.950605777,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.979975938797, timestamp=1689849767.3079524)	[('tile_y', 4), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,34
autotvm - DEBUG - No: 36	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.83438713,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.27843570709229, timestamp=1689849855.2599595)	[('tile_y', 5), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,35
autotvm - DEBUG - No: 37	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.097795311,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.80196237564087, timestamp=1689849943.5796723)	[('tile_y', 8), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,36
autotvm - DEBUG - No: 38	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.775310136,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.93279910087585, timestamp=1689850032.2789304)	[('tile_y', 10), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,37
autotvm - DEBUG - No: 39	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.073433216999994,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.47826075553894, timestamp=1689850120.3362036)	[('tile_y', 20), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,38
autotvm - DEBUG - No: 40	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.838041575000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.71353244781494, timestamp=1689850208.7380304)	[('tile_y', 25), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,39
autotvm - DEBUG - No: 41	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.910782453,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.31055188179016, timestamp=1689850296.8928475)	[('tile_y', 40), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,40
autotvm - DEBUG - No: 42	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.706096232,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.48400092124939, timestamp=1689850385.0198476)	[('tile_y', 50), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,41
autotvm - DEBUG - No: 43	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.309153421000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.12148308753967, timestamp=1689850473.6926274)	[('tile_y', 100), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,42
autotvm - DEBUG - No: 44	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.700729958000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.68046355247498, timestamp=1689850563.3520198)	[('tile_y', 125), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,43
autotvm - DEBUG - No: 45	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.810550156,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.33965301513672, timestamp=1689850651.3833864)	[('tile_y', 200), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,44
autotvm - DEBUG - No: 46	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.031922318,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.6165177822113, timestamp=1689850739.8587074)	[('tile_y', 250), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,45
autotvm - DEBUG - No: 47	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.900352369000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.29247212409973, timestamp=1689850828.8422077)	[('tile_y', 500), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,46
autotvm - DEBUG - No: 48	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.828399977000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.97350025177002, timestamp=1689850917.643244)	[('tile_y', 1000), ('tile_x', 4), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,47
autotvm - DEBUG - No: 49	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.944861465,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.87013244628906, timestamp=1689851009.0340228)	[('tile_y', 1), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,48
autotvm - DEBUG - No: 50	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.74811067,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.48755431175232, timestamp=1689851097.0364242)	[('tile_y', 2), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,49
autotvm - DEBUG - No: 51	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.961673569,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.03053522109985, timestamp=1689851185.5863974)	[('tile_y', 4), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,50
autotvm - DEBUG - No: 52	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.176305733,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.00395655632019, timestamp=1689851274.2060146)	[('tile_y', 5), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,51
autotvm - DEBUG - No: 53	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.656924702999994,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.19138073921204, timestamp=1689851361.915425)	[('tile_y', 8), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,52
autotvm - DEBUG - No: 54	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.499943464999994,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.62516713142395, timestamp=1689851451.0564735)	[('tile_y', 10), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,53
autotvm - DEBUG - No: 55	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.115420355000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.9401547908783, timestamp=1689851539.9198322)	[('tile_y', 20), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,54
autotvm - DEBUG - No: 56	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.122081827,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.35818028450012, timestamp=1689851628.1732416)	[('tile_y', 25), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,55
autotvm - DEBUG - No: 57	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.745233670000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.6146228313446, timestamp=1689851716.3124573)	[('tile_y', 40), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,56
autotvm - DEBUG - No: 58	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.645763692,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.5506341457367, timestamp=1689851804.3847866)	[('tile_y', 50), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,57
autotvm - DEBUG - No: 59	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.662517303,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.88509821891785, timestamp=1689851893.8071356)	[('tile_y', 100), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,58
autotvm - DEBUG - No: 60	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.822196018,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.83153057098389, timestamp=1689851982.1533725)	[('tile_y', 125), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,59
autotvm - DEBUG - No: 61	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.872496844000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.93871259689331, timestamp=1689852070.701102)	[('tile_y', 200), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,60
autotvm - DEBUG - No: 62	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.905605101,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.77642250061035, timestamp=1689852159.054373)	[('tile_y', 250), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,61
autotvm - DEBUG - No: 63	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.696218326,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.3101921081543, timestamp=1689852246.8997848)	[('tile_y', 500), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,62
autotvm - DEBUG - No: 64	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.702815034,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.6363730430603, timestamp=1689852335.2691545)	[('tile_y', 1000), ('tile_x', 5), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,63
autotvm - DEBUG - No: 65	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.933719986,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.83540773391724, timestamp=1689852423.6317868)	[('tile_y', 1), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,64
autotvm - DEBUG - No: 66	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.891868314999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.51381492614746, timestamp=1689852511.653027)	[('tile_y', 2), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,65
autotvm - DEBUG - No: 67	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.092997256000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=87.97613406181335, timestamp=1689852599.1490865)	[('tile_y', 4), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,66
autotvm - DEBUG - No: 68	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.822315157999995,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.32039284706116, timestamp=1689852686.9832263)	[('tile_y', 5), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,67
autotvm - DEBUG - No: 69	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.242551754,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.61404728889465, timestamp=1689852776.1350434)	[('tile_y', 8), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,68
autotvm - DEBUG - No: 70	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.650723034,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.0613648891449, timestamp=1689852863.9007955)	[('tile_y', 10), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,69
autotvm - DEBUG - No: 71	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.274053213,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.165274143219, timestamp=1689852952.5841775)	[('tile_y', 20), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,70
autotvm - DEBUG - No: 72	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.775753213,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.00886511802673, timestamp=1689853040.3144476)	[('tile_y', 25), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,71
autotvm - DEBUG - No: 73	GFLOPS: 1.11/1.11	result: MeasureResult(costs=(43.255466413,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.48123383522034, timestamp=1689853128.6555815)	[('tile_y', 40), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,72
autotvm - DEBUG - No: 74	GFLOPS: 1.07/1.11	result: MeasureResult(costs=(45.017583115,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.71800804138184, timestamp=1689853217.9371722)	[('tile_y', 50), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,73
autotvm - DEBUG - No: 75	GFLOPS: 1.11/1.11	result: MeasureResult(costs=(43.355239689,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.29555225372314, timestamp=1689853306.7513986)	[('tile_y', 100), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,74
autotvm - DEBUG - No: 76	GFLOPS: 1.10/1.11	result: MeasureResult(costs=(43.815423084,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.1844413280487, timestamp=1689853394.517442)	[('tile_y', 125), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,75
autotvm - DEBUG - No: 77	GFLOPS: 1.10/1.11	result: MeasureResult(costs=(43.708841327,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.10376310348511, timestamp=1689853482.1634057)	[('tile_y', 200), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,76
autotvm - DEBUG - No: 78	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.918922417000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.41116213798523, timestamp=1689853570.1271071)	[('tile_y', 250), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,77
autotvm - DEBUG - No: 79	GFLOPS: 1.10/1.11	result: MeasureResult(costs=(43.7935281,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.93588209152222, timestamp=1689853659.5785604)	[('tile_y', 500), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,78
